question,issue,group,coders
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,abany,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,abdefect,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,abhlth,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,abnomore,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,abpoor,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,abrape,abortion,2
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,absingle,abortion,2
In general: do you favor the busing of African-American and white school children from one school district to another?,busing,school segregation,1
Do you favor the death penalty for persons convicted of murder?,cappun,cappun,2
There are always some people whose ideas are considered bad or dangerous by other people. For instance: somebody who is against all churches and religion -- should such a person be allowed to teach in a college or university?,colath,atheist,2
Consider a man who admits he is a Communist. Suppose he is teaching in a college. Should he be fired?,colcom,communist,1
Consider a man who admits that he is a homosexual. Should such a person be allowed to teach in a college or university?,colhomo,fr.sp homosex,2
Consider a person who advocates doing away with elections and letting the military run the country. Should such a person be allowed to teach in a college or university?,colmil,militarist,1
Consider a person who believes that Blacks are genetically inferior. Should such a person be allowed to teach in a college or university?,colrac,racist,2
It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,fefam,women,2
It is more important for a wife to help her husband's career than to have one herself.,fehelp,women,2
Because of past discrimination employers should make special efforts to hire and promote qualified women.,fehire,women priority,1
Women should take care of running their homes and leave running the country up to men.,fehome,women,2
Some people say that because of past discrimination women should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of women is wrong because it discriminates against men. What about your opinion - are you for preferential hiring and promotion of women?,fejobaff,women priority,1
Do you approve of a married woman earning money in business or industry if she has a husband capable of supporting her?,fework,women,2
Do you think the use of marijuana should be made legal?,grass,grass,1
Would you favor a law which would require a person to obtain a police permit before he or she could buy a gun?,gunlaw,gunlaw,1
Some people think that African-Americans have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to African-Americans. Do you think that the government should help improve the living standards of African-Americans?,helpblk,race priority,1
Some people think that the government in Washington should do everything possible to improve the standard of living of all poor Americans. Other people think it is not the government's responsibility and that each person should take care of himself. Do you think that the government should do everything possible to improve the standard of living of all poor Americans?,helppoor,welfair,1
In general some people think that it is the responsibility of the government in Washington to see to it that people have help in paying for doctors and hospital bills. Others think that these matters are not the responsibility of the federal government and that people should take care of these things themselves. Do you think that it is the responsibility of the government?,helpsick,welfair,1
Are there any situations that you can imagine in which you would approve of a man punching an adult male stranger?,hitok,hit,2
Would you approve of a man punching a stranger who was drunk and bumped into the man and his wife on the street?,hitdrunk,hit,2
Would you approve of a man punching a stranger who was beating up a woman and the man saw it?,hitbeatr,hit,2
Would you approve of a man punching a stranger who had hit the man's child after the child accidentally damaged the stranger's car?,hitchild,hit,2
Would you approve of a man punching a stranger who was in a protest march showing opposition to the other man's views?,hitmarch,hit,2
Would you approve of a man punching a stranger who had broken into the man's house?,hitrobbr,hit,2
What about sexual relations between two adults of the same sex--do you think it is always wrong?,homosex,homosex,2
When a person has a disease that cannot be cured -- do you think doctors should be allowed by law to end the patient's life by some painless means if the patient and his family request it?,letdie1,suicide,2
There are always some people whose ideas are considered bad or dangerous by other people. For instance somebody who is against all churches and religion.Â If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library -- would you favor removing this book?,libath,NA,2
Consider a man who admits he is a Communist.  Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it?,libcom,communist,1
Consider a man who admits that he is a homosexual. If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library -- would you favor removing this book?,libhomo,fr.sp homosex,2
Consider a person who advocates doing away with elections and letting the military run the country. Suppose he wrote a book advocating doing away with elections and letting the military run the country. Somebody in your community suggests that the book be removed from the public library. Would you favor removing it?,libmil,militarist,1
Consider a person who believes that Blacks are genetically inferior. If some people in your community suggested that a book he wrote which said Blacks are inferior should be taken out of your public library -- would you favor removing this book?,librac,racist,2
Would you be in favor of having a close relative or family member marry a black person?,marblk,racial marriage,1
Would you be in favor of having a close relative or family member marry an Asian American person?,marasian,racial marriage,1
Would you be in favor of having a close relative or family member marry a Hispanic American person?,marhisp,racial marriage,1
Homosexual couples should have the right to marry one another.,marhomo,homosex,1
Would you be in favor of having a close relative or family member marry a white person?,marwht,racial marriage,1
Do you agree that methods of birth control should be available to teenagers between the ages of 14 and 16 if their parents do not approve?,pillok,teensex,2
Would you approve of a policeman striking a citizen who had said vulgar and obscene things to the policeman?,polabuse,polvio,2
Would you approve of a policeman striking a citizen who was attacking the policeman with his fists?,polattak,polvio,2
Would you approve of a policeman striking a citizen who was attempting to escape from custody?,polescap,polvio,2
Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen?,polhitok,polvio,2
Would you approve of a policeman striking a citizen who was being questioned as a suspect in a murder case?,polmurdr,polvio,2
Consider your feelings about pornography laws. Do you think it should be illegal?,pornlaw,pornlaw,1
There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and woman have sex relations before marriage -- do you think it is wrong?,premarsx,premarsx,2
If you and your friends belonged to a social club that would not let African-Americans join -- would you try to change the rules so that African-Americans could join?,racchng,racism,1
Would you yourself have any objection to sending your children to a school where a few of the children are African-Americans?,racfew,school segregation,2
Would you yourself have any objection to sending your children to a school where half of the children are African-Americans?,rachaf,school segregation,2
Would you yourself have any objection to sending your children to a school where more than half of the children are African-Americans?,racmost,school segregation,2
Do you think there should be laws against marriages between African-Americans and whites?,racmar,racial marriage,2
Suppose there is a community-wide vote on the general housing issue. There are two possible laws to vote on (OWNER DECIDES and CAN'T DISCRIMINATE). Would you vote for owner decides?,racopen,racism,1
African-Americans shouldn't push themselves where they're not wanted.,racpush,racism,2
White people have a right to keep African-Americans out of their neighborhoods if they want to and African-Americans should respect that right.,racseg,racism,2
Would you be for sex education in the public schools?,sexeduc,sexeduc,2
Do you agree that it is sometimes necessary to discipline a child with a good hard spanking?,spanking,hit,2
Consider somebody who is against all churches and religion. If such a person wanted to make a speech in your (city/town/community) against churches and religion -- should he be allowed to speak?,spkath,atheist,2
Consider a man who admits he is a Communist. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak?,spkcom,communist,1
Consider a man who admits that he is a homosexual? Suppose this admitted homosexual wanted to make a speech in your community. Should he be allowed to speak?,spkhomo,fr.sp homosex,2
Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community -- should he be allowed to speak?,spkmil,militarist,1
Consider a person who believes that Blacks are genetically inferior. If such a person wanted to make a speech in your community claiming that Blacks are inferior -- should he be allowed to speak?,spkrac,racist,2
Do you think a person has the right to end his or her own life if this person has an incurable disease?,suicide1,suicide,2
Do you think a person has the right to end his or her own life if this person has gone bankrupt?,suicide2,suicide,2
Do you think a person has the right to end his or her own life if this person has dishonored his or her family?,suicide3,suicide,2
Do you think a person has the right to end his or her own life if this person is tired of living and ready to die?,suicide4,suicide,2
Consider people who are in their early teens -- say 14 to 16 years old. In that case: do you think sex relations before marriage are wrong?,teensex,teensex,2
Everything considered: would you say that -- in general -- you approve of wiretapping?,wirtap,wirtap,1
Irish and Italians and Jewish and many other minorities overcame prejudice and worked their way up. Blacks should do the same without special favors.,wrkwayup,race priority,1
What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it wrong?,xmarsex,xmarsex,2
